object_name,rf_material,epsilon_r,sigma_S_m,thickness_m
ADMIN,concrete,5.31,0.0326,0.25
ADMIN.001_S,concrete,5.31,0.0326,0.25
ADMIN_B,concrete,5.31,0.0326,0.25
ADMIN_B.001_S,concrete,5.31,0.0326,0.25
admin_central,concrete,5.31,0.0326,0.25
admin_central_roof,metal,1.0,10000000.0,0.01
admin_door,concrete,5.31,0.0326,0.25
admin_door.001_S,concrete,5.31,0.0326,0.25
admin_door_B,metal,1.0,10000000.0,0.01
admin_door_B.001_S,metal,1.0,10000000.0,0.01
ADMIN_roof,metal,1.0,10000000.0,0.01
ADMIN_roof.001_S,metal,1.0,10000000.0,0.01
ADMIN_roof_B,metal,1.0,10000000.0,0.01
ADMIN_roof_B.001_S,metal,1.0,10000000.0,0.01
admin_win_0,glass,6.27,0.0043,0.008
admin_win_0.001_S,glass,6.27,0.0043,0.008
admin_win_0_B,glass,6.27,0.0043,0.008
admin_win_0_B.001_S,glass,6.27,0.0043,0.008
admin_win_1,glass,6.27,0.0043,0.008
admin_win_1.001_S,glass,6.27,0.0043,0.008
admin_win_10,glass,6.27,0.0043,0.008
admin_win_10.001_S,glass,6.27,0.0043,0.008
admin_win_10_B,glass,6.27,0.0043,0.008
admin_win_10_B.001_S,glass,6.27,0.0043,0.008
admin_win_11,glass,6.27,0.0043,0.008
admin_win_11.001_S,glass,6.27,0.0043,0.008
admin_win_11_B,glass,6.27,0.0043,0.008
admin_win_11_B.001_S,glass,6.27,0.0043,0.008
admin_win_12,glass,6.27,0.0043,0.008
admin_win_12.001_S,glass,6.27,0.0043,0.008
admin_win_12_B,glass,6.27,0.0043,0.008
admin_win_12_B.001_S,glass,6.27,0.0043,0.008
admin_win_13,glass,6.27,0.0043,0.008
admin_win_13.001_S,glass,6.27,0.0043,0.008
admin_win_13_B,glass,6.27,0.0043,0.008
admin_win_13_B.001_S,glass,6.27,0.0043,0.008
admin_win_14,glass,6.27,0.0043,0.008
admin_win_14.001_S,glass,6.27,0.0043,0.008
admin_win_14_B,glass,6.27,0.0043,0.008
admin_win_14_B.001_S,glass,6.27,0.0043,0.008
admin_win_15,glass,6.27,0.0043,0.008
admin_win_15.001_S,glass,6.27,0.0043,0.008
admin_win_15_B,glass,6.27,0.0043,0.008
admin_win_15_B.001_S,glass,6.27,0.0043,0.008
admin_win_16,glass,6.27,0.0043,0.008
admin_win_16.001_S,glass,6.27,0.0043,0.008
admin_win_16_B,glass,6.27,0.0043,0.008
admin_win_16_B.001_S,glass,6.27,0.0043,0.008
admin_win_17,glass,6.27,0.0043,0.008
admin_win_17.001_S,glass,6.27,0.0043,0.008
admin_win_17_B,glass,6.27,0.0043,0.008
admin_win_17_B.001_S,glass,6.27,0.0043,0.008
admin_win_18,glass,6.27,0.0043,0.008
admin_win_18.001_S,glass,6.27,0.0043,0.008
admin_win_18_B,glass,6.27,0.0043,0.008
admin_win_18_B.001_S,glass,6.27,0.0043,0.008
admin_win_19,glass,6.27,0.0043,0.008
admin_win_19.001_S,glass,6.27,0.0043,0.008
admin_win_19_B,glass,6.27,0.0043,0.008
admin_win_19_B.001_S,glass,6.27,0.0043,0.008
admin_win_1_B,glass,6.27,0.0043,0.008
admin_win_1_B.001_S,glass,6.27,0.0043,0.008
admin_win_2,glass,6.27,0.0043,0.008
admin_win_2.001_S,glass,6.27,0.0043,0.008
admin_win_2_B,glass,6.27,0.0043,0.008
admin_win_2_B.001_S,glass,6.27,0.0043,0.008
admin_win_3,glass,6.27,0.0043,0.008
admin_win_3.001_S,glass,6.27,0.0043,0.008
admin_win_3_B,glass,6.27,0.0043,0.008
admin_win_3_B.001_S,glass,6.27,0.0043,0.008
admin_win_4,glass,6.27,0.0043,0.008
admin_win_4.001_S,glass,6.27,0.0043,0.008
admin_win_4_B,glass,6.27,0.0043,0.008
admin_win_4_B.001_S,glass,6.27,0.0043,0.008
admin_win_5,glass,6.27,0.0043,0.008
admin_win_5.001_S,glass,6.27,0.0043,0.008
admin_win_5_B,glass,6.27,0.0043,0.008
admin_win_5_B.001_S,glass,6.27,0.0043,0.008
admin_win_6,glass,6.27,0.0043,0.008
admin_win_6.001_S,glass,6.27,0.0043,0.008
admin_win_6_B,glass,6.27,0.0043,0.008
admin_win_6_B.001_S,glass,6.27,0.0043,0.008
admin_win_7,glass,6.27,0.0043,0.008
admin_win_7.001_S,glass,6.27,0.0043,0.008
admin_win_7_B,glass,6.27,0.0043,0.008
admin_win_7_B.001_S,glass,6.27,0.0043,0.008
admin_win_8,glass,6.27,0.0043,0.008
admin_win_8.001_S,glass,6.27,0.0043,0.008
admin_win_8_B,glass,6.27,0.0043,0.008
admin_win_8_B.001_S,glass,6.27,0.0043,0.008
admin_win_9,glass,6.27,0.0043,0.008
admin_win_9.001_S,glass,6.27,0.0043,0.008
admin_win_9_B,glass,6.27,0.0043,0.008
admin_win_9_B.001_S,glass,6.27,0.0043,0.008
CONN_A,concrete,5.31,0.0326,0.25
CONN_A.001_S,concrete,5.31,0.0326,0.25
CONN_A_B,concrete,5.31,0.0326,0.25
CONN_A_B.001_S,concrete,5.31,0.0326,0.25
CONN_A_roof,metal,1.0,10000000.0,0.01
CONN_A_roof.001_S,metal,1.0,10000000.0,0.01
CONN_A_roof_B,metal,1.0,10000000.0,0.01
CONN_A_roof_B.001_S,metal,1.0,10000000.0,0.01
CONN_B,concrete,5.31,0.0326,0.25
CONN_B.001_S,concrete,5.31,0.0326,0.25
CONN_B_B,concrete,5.31,0.0326,0.25
CONN_B_B.001_S,concrete,5.31,0.0326,0.25
CONN_B_roof,metal,1.0,10000000.0,0.01
CONN_B_roof.001_S,metal,1.0,10000000.0,0.01
CONN_B_roof_B,metal,1.0,10000000.0,0.01
CONN_B_roof_B.001_S,metal,1.0,10000000.0,0.01
Cube,concrete,5.31,0.0326,0.25
door_E_frame_mid,metal,1.0,10000000.0,0.01
door_E_frame_mid.001_S,metal,1.0,10000000.0,0.01
door_E_frame_mid_B,metal,1.0,10000000.0,0.01
door_E_frame_mid_B.001_S,metal,1.0,10000000.0,0.01
door_E_frame_top,metal,1.0,10000000.0,0.01
door_E_frame_top.001_S,metal,1.0,10000000.0,0.01
door_E_frame_top_B,metal,1.0,10000000.0,0.01
door_E_frame_top_B.001_S,metal,1.0,10000000.0,0.01
door_E_L,metal,1.0,10000000.0,0.01
door_E_L.001_S,metal,1.0,10000000.0,0.01
door_E_L_B,metal,1.0,10000000.0,0.01
door_E_L_B.001_S,metal,1.0,10000000.0,0.01
door_E_R,metal,1.0,10000000.0,0.01
door_E_R.001_S,metal,1.0,10000000.0,0.01
door_E_R_B,metal,1.0,10000000.0,0.01
door_E_R_B.001_S,metal,1.0,10000000.0,0.01
FLOOR,concrete,5.31,0.0326,0.25
FLOOR.001_S,concrete,5.31,0.0326,0.25
FLOOR_B,concrete,5.31,0.0326,0.25
FLOOR_B.001_S,concrete,5.31,0.0326,0.25
interior_pasto_N,ground_dry,3.0,0.001,10.0
interior_pasto_N.001_S,ground_dry,3.0,0.001,10.0
interior_pasto_N_B,ground_dry,3.0,0.001,10.0
interior_pasto_N_B.001_S,ground_dry,3.0,0.001,10.0
interior_pasto_S,ground_dry,3.0,0.001,10.0
interior_pasto_S.001_S,ground_dry,3.0,0.001,10.0
interior_pasto_S_B,ground_dry,3.0,0.001,10.0
interior_pasto_S_B.001_S,ground_dry,3.0,0.001,10.0
muro_E,concrete,5.31,0.0326,0.25
muro_N,concrete,5.31,0.0326,0.25
muro_S,concrete,5.31,0.0326,0.25
muro_W,concrete,5.31,0.0326,0.25
pabA_1_losa,concrete,5.31,0.0326,0.25
pabA_1_losa.001_S,concrete,5.31,0.0326,0.25
pabA_1_losa_B,concrete,5.31,0.0326,0.25
pabA_1_losa_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_PA,concrete,5.31,0.0326,0.25
pabA_1_PA.001_S,concrete,5.31,0.0326,0.25
pabA_1_PA_B,concrete,5.31,0.0326,0.25
pabA_1_PA_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_PB,concrete,5.31,0.0326,0.25
pabA_1_PB.001_S,concrete,5.31,0.0326,0.25
pabA_1_PB_B,concrete,5.31,0.0326,0.25
pabA_1_PB_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_roof,metal,1.0,10000000.0,0.01
pabA_1_roof.001_S,metal,1.0,10000000.0,0.01
pabA_1_roof_B,metal,1.0,10000000.0,0.01
pabA_1_roof_B.001_S,metal,1.0,10000000.0,0.01
pabA_1_wE_PA_0,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_0.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_0_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_0_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_1,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_1.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_10,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_10.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_10_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_10_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_11,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_11.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_11_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_11_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_1_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_1_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_2,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_2.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_2_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_2_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_3,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_3.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_3_B,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_3_B.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_4,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_4.001_S,concrete,5.31,0.0326,0.25
pabA_1_wE_PA_4_B,concrete,5.31,0.0326,0.25
