id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up8,bearing_deg_from_up8,estimated_bands
51,722,34,407,30241,-33.087,-60.8,1825,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.636,4.0,B5 (850); B2 (1900)
50,722,34,496,2625454,-33.088,-60.805,4690,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.672,321.1,B5 (850); B1 (2100)
55,722,34,498,40050,-33.096,-60.794,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.706,121.3,B5 (850); B1 (2100)
56,722,34,492,2625454,-33.094,-60.793,1937,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.711,101.7,B5 (850); B1 (2100)
61,722,310,13127,23045467,-33.087,-60.796,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,0.759,33.3,B5 (850); B1 (2100)
54,722,34,496,2626006,-33.097,-60.794,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.769,128.4,B5 (850); B1 (2100)
52,722,310,13106,23297314,-33.098,-60.795,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,0.779,139.1,B5 (850); B1 (2100)
58,722,34,407,30042,-33.092,-60.792,1000,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.793,84.3,B5 (850); B2 (1900)
47,722,34,492,2663763,-33.1,-60.795,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,0.958,147.9,B5 (850); B1 (2100)
60,722,7,2401,20707,-33.09,-60.788,6667,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,1.2,75.5,B5 (850); B2 (1900)
53,722,310,13120,21003554,-33.098,-60.788,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,1.303,116.9,B5 (850); B1 (2100)
91,722,310,13127,23015525,-33.083,-60.81,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,1.397,320.6,B5 (850); B1 (2100)
57,722,7,2461,134403587,-33.092,-60.785,1000,LTE,1,0,True,0,0,2461,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,1.443,86.9,B28 (700); B4 (AWS); B7 (2600)
59,722,34,494,173398,-33.092,-60.784,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,1.536,87.1,B5 (850); B1 (2100)
93,722,34,496,2663763,-33.081,-60.79,7112,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,1.626,36.9,B5 (850); B1 (2100)
45,722,310,53106,1187073,-33.107,-60.796,1000,LTE,1,0,True,0,0,53106,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,1.643,165.3,B28 (700); B4 (AWS); B7 (2600)
92,722,34,401,60336,-33.081,-60.814,1000,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,1.812,315.9,B5 (850); B2 (1900)
44,722,310,13106,23267314,-33.109,-60.8,1948,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,1.813,178.6,B5 (850); B1 (2100)
46,722,310,13123,21003554,-33.107,-60.791,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,1.818,151.0,B5 (850); B1 (2100)
66,722,34,407,10050,-33.091,-60.781,2160,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,1.824,84.0,B5 (850); B2 (1900)
67,722,7,2431,8179553,-33.09,-60.781,7872,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,1.839,80.6,B5 (850); B1 (2100)
89,722,34,407,40050,-33.081,-60.815,8521,GSM,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,1.878,313.9,B5 (850); B2 (1900)
63,722,7,2431,8178179,-33.094,-60.779,5982,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Movistar,2.005,94.1,B5 (850); B1 (2100)
62,722,34,496,2663904,-33.098,-60.778,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,2.175,105.7,B5 (850); B1 (2100)
94,722,34,491,2665718,-33.079,-60.781,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,2.369,50.0,B5 (850); B1 (2100)
68,722,310,13127,23045352,-33.085,-60.776,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,2.435,69.4,B5 (850); B1 (2100)
64,722,34,498,173398,-33.092,-60.773,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,2.56,88.3,B5 (850); B1 (2100)
65,722,34,492,10256641,-33.092,-60.772,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,2.654,88.3,B5 (850); B1 (2100)
95,722,34,492,2663801,-33.076,-60.778,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,2.799,48.4,B5 (850); B1 (2100)
70,722,34,498,2663904,-33.092,-60.766,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Personal,3.212,88.6,B5 (850); B1 (2100)
37,722,310,13106,23277831,-33.123,-60.801,1000,UMTS,1,0,True,0,0,0,,pinero,2025-12-25 23:22:07.417839+00:00,Claro,3.369,180.8,B5 (850); B1 (2100)
