point_id,lat,lon,z_m,status,banda_max,rx_max_dbm,rx_B2,rx_B4,rx_B7,rx_B25,rx_B26,rx_B28,rx_B41,rx_B66
P000000,-31.5107486,-60.71909,7.5,OUT,B26,-52.23,-60.63,-61.36,-63.26,-60.64,-52.23,-52.63,-63.06,-61.45
P000001,-31.5107486,-60.7190584,7.5,OUT,B26,-52.26,-60.65,-61.39,-63.29,-60.67,-52.26,-52.66,-63.09,-61.48
P000002,-31.5107486,-60.7190268,7.5,OUT,B26,-52.3,-60.68,-61.41,-63.32,-60.69,-52.3,-52.68,-63.11,-61.51
P000003,-31.5107216,-60.7192165,7.5,OUT,B26,-52.12,-60.53,-61.26,-63.17,-60.54,-52.12,-52.53,-62.96,-61.35
P000004,-31.5107216,-60.7191848,7.5,OUT,B26,-52.16,-60.56,-61.29,-63.19,-60.57,-52.16,-52.56,-62.99,-61.38
P000005,-31.5107216,-60.7191532,7.5,OUT,B26,-52.19,-60.59,-61.32,-63.22,-60.6,-52.19,-52.59,-63.02,-61.41
P000006,-31.5107216,-60.7191216,7.5,OUT,B26,-52.22,-60.61,-61.35,-63.25,-60.63,-52.22,-52.62,-63.05,-61.44
P000007,-31.5107216,-60.71909,7.5,OUT,B26,-52.25,-60.64,-61.38,-63.28,-60.65,-52.25,-52.65,-63.07,-61.47
P000008,-31.5107216,-60.7190584,7.5,OUT,B26,-52.28,-60.67,-61.4,-63.31,-60.68,-52.28,-52.67,-63.1,-61.49
P000009,-31.5107216,-60.7190268,7.5,OUT,B26,-52.31,-60.7,-61.43,-63.33,-60.71,-52.31,-52.7,-63.13,-61.52
P000010,-31.5107216,-60.7189952,7.5,OUT,B26,-52.34,-60.73,-61.46,-63.36,-60.74,-52.34,-52.73,-63.16,-61.55
P000011,-31.5106947,-60.7193113,7.5,OUT,B26,-52.05,-60.46,-61.19,-63.1,-60.47,-52.05,-52.46,-62.89,-61.28
P000012,-31.5106947,-60.7192797,7.5,OUT,B26,-52.08,-60.49,-61.22,-63.13,-60.5,-52.08,-52.49,-62.92,-61.31
P000013,-31.5106947,-60.7192481,7.5,OUT,B26,-52.11,-60.52,-61.25,-63.15,-60.53,-52.11,-52.52,-62.95,-61.34
P000014,-31.5106947,-60.7192165,7.5,OUT,B26,-52.14,-60.55,-61.28,-63.18,-60.56,-52.14,-52.55,-62.98,-61.37
P000015,-31.5106947,-60.7191848,7.5,OUT,B26,-52.17,-60.57,-61.31,-63.21,-60.59,-52.17,-52.58,-63.01,-61.4
P000016,-31.5106947,-60.7191532,7.5,OUT,B26,-52.21,-60.6,-61.34,-63.24,-60.61,-52.21,-52.61,-63.03,-61.43
P000017,-31.5106947,-60.7191216,7.5,OUT,B26,-52.24,-60.63,-61.36,-63.27,-60.64,-52.24,-52.63,-63.06,-61.46
