point_id,lat,lon,z_m,status,building_id,wall_db,banda_max,rx_max_dbm,rx_B2,rx_B4,rx_B7,rx_B25,rx_B26,rx_B28,rx_B41,rx_B66
P000000,-31.5107486,-60.71909,1.5,OUT,,0.0,B26,-67.23,-75.62,-76.36,-78.26,-75.63,-67.23,-67.63,-78.05,-76.45
P000001,-31.5107486,-60.7190584,1.5,OUT,,0.0,B26,-67.26,-75.65,-76.38,-78.29,-75.66,-67.26,-67.65,-78.08,-76.48
P000002,-31.5107486,-60.7190268,1.5,OUT,,0.0,B26,-67.29,-75.68,-76.41,-78.32,-75.69,-67.29,-67.68,-78.11,-76.5
P000003,-31.5107216,-60.7192165,1.5,OUT,,0.0,B26,-67.12,-75.53,-76.26,-78.16,-75.54,-67.12,-67.53,-77.96,-76.35
P000004,-31.5107216,-60.7191848,1.5,OUT,,0.0,B26,-67.15,-75.56,-76.29,-78.19,-75.57,-67.15,-67.56,-77.99,-76.38
P000005,-31.5107216,-60.7191532,1.5,OUT,,0.0,B26,-67.19,-75.58,-76.32,-78.22,-75.59,-67.19,-67.59,-78.01,-76.41
P000006,-31.5107216,-60.7191216,1.5,OUT,,0.0,B26,-67.22,-75.61,-76.34,-78.25,-75.62,-67.22,-67.61,-78.04,-76.44
P000007,-31.5107216,-60.71909,1.5,OUT,,0.0,B26,-67.25,-75.64,-76.37,-78.28,-75.65,-67.25,-67.64,-78.07,-76.46
P000008,-31.5107216,-60.7190584,1.5,OUT,,0.0,B26,-67.28,-75.67,-76.4,-78.3,-75.68,-67.28,-67.67,-78.1,-76.49
P000009,-31.5107216,-60.7190268,1.5,OUT,,0.0,B26,-67.31,-75.7,-76.43,-78.33,-75.71,-67.31,-67.7,-78.13,-76.52
P000010,-31.5107216,-60.7189952,1.5,OUT,,0.0,B26,-67.34,-75.72,-76.46,-78.36,-75.73,-67.34,-67.73,-78.15,-76.55
P000011,-31.5106947,-60.7193113,1.5,OUT,,0.0,B26,-67.05,-75.46,-76.19,-78.09,-75.47,-67.05,-67.46,-77.89,-76.28
P000012,-31.5106947,-60.7192797,1.5,OUT,,0.0,B26,-67.08,-75.49,-76.22,-78.12,-75.5,-67.08,-67.49,-77.92,-76.31
